word,word_normalized,length,char_counts
اهدا,اهدا,4,"{""ا"": 2, ""ه"": 1, ""د"": 1}"
گناه,گناه,4,"{""گ"": 1, ""ن"": 1, ""ا"": 1, ""ه"": 1}"
آشنا,اشنا,4,"{""ا"": 2, ""ش"": 1, ""ن"": 1}"
دانش,دانش,4,"{""د"": 1, ""ا"": 1, ""ن"": 1, ""ش"": 1}"
دانا,دانا,4,"{""د"": 1, ""ا"": 2, ""ن"": 1}"
انشا,انشا,4,"{""ا"": 2, ""ن"": 1, ""ش"": 1}"
شانه,شانه,4,"{""ش"": 1, ""ا"": 1, ""ن"": 1, ""ه"": 1}"
آگاه,اگاه,4,"{""ا"": 2, ""گ"": 1, ""ه"": 1}"
دانشگاه,دانشگاه,7,"{""د"": 1, ""ا"": 2, ""ن"": 1, ""ش"": 1, ""گ"": 1, ""ه"": 1}"
سکه,سکه,3,"{""س"": 1, ""ک"": 1, ""ه"": 1}"
سکو,سکو,3,"{""س"": 1, ""ک"": 1, ""و"": 1}"
کتک,کتک,3,"{""ک"": 2, ""ت"": 1}"
سوت,سوت,3,"{""س"": 1, ""و"": 1, ""ت"": 1}"
کاسه,کاسه,4,"{""ک"": 1, ""ا"": 1, ""س"": 1, ""ه"": 1}"
کاهو,کاهو,4,"{""ک"": 1, ""ا"": 1, ""ه"": 1, ""و"": 1}"
کوسه,کوسه,4,"{""ک"": 1, ""و"": 1, ""س"": 1, ""ه"": 1}"
ساکت,ساکت,4,"{""س"": 1, ""ا"": 1, ""ک"": 1, ""ت"": 1}"
سکته,سکته,4,"{""س"": 1, ""ک"": 1, ""ت"": 1, ""ه"": 1}"
واکس,واکس,4,"{""و"": 1, ""ا"": 1, ""ک"": 1, ""س"": 1}"
سکوت,سکوت,4,"{""س"": 1, ""ک"": 1, ""و"": 1, ""ت"": 1}"
کوتاه,کوتاه,5,"{""ک"": 1, ""و"": 1, ""ت"": 1, ""ا"": 1, ""ه"": 1}"
کاکتوس,کاکتوس,6,"{""ک"": 2, ""ا"": 1, ""ت"": 1, ""و"": 1, ""س"": 1}"
کال,کال,3,"{""ک"": 1, ""ا"": 1, ""ل"": 1}"
کیک,کیک,3,"{""ک"": 2, ""ی"": 1}"
کلک,کلک,3,"{""ک"": 2, ""ل"": 1}"
سال,سال,3,"{""س"": 1, ""ا"": 1, ""ل"": 1}"
سایه,سایه,4,"{""س"": 1, ""ا"": 1, ""ی"": 1, ""ه"": 1}"
کیسه,کیسه,4,"{""ک"": 1, ""ی"": 1, ""س"": 1, ""ه"": 1}"
ژاپن,ژاپن,4,"{""ژ"": 1, ""ا"": 1, ""پ"": 1, ""ن"": 1}"
لایه,لایه,4,"{""ل"": 1, ""ا"": 1, ""ی"": 1, ""ه"": 1}"
سیاه,سیاه,4,"{""س"": 1, ""ی"": 1, ""ا"": 1, ""ه"": 1}"
کلاس,کلاس,4,"{""ک"": 1, ""ل"": 1, ""ا"": 1, ""س"": 1}"
کلیسا,کلیسا,5,"{""ک"": 1, ""ل"": 1, ""ی"": 1, ""س"": 1, ""ا"": 1}"
اسکله,اسکله,5,"{""ا"": 1, ""س"": 1, ""ک"": 1, ""ل"": 1, ""ه"": 1}"
کالسکه,کالسکه,6,"{""ک"": 2, ""ا"": 1, ""ل"": 1, ""س"": 1, ""ه"": 1}"
پله,پله,3,"{""پ"": 1, ""ل"": 1, ""ه"": 1}"
ژله,ژله,3,"{""ژ"": 1, ""ل"": 1, ""ه"": 1}"
مژه,مژه,3,"{""م"": 1, ""ژ"": 1, ""ه"": 1}"
لپه,لپه,3,"{""ل"": 1, ""پ"": 1, ""ه"": 1}"
لانه,لانه,4,"{""ل"": 1, ""ا"": 1, ""ن"": 1, ""ه"": 1}"
لامپ,لامپ,4,"{""ل"": 1, ""ا"": 1, ""م"": 1, ""پ"": 1}"
نامه,نامه,4,"{""ن"": 1, ""ا"": 1, ""م"": 1, ""ه"": 1}"
ژاله,ژاله,4,"{""ژ"": 1, ""ا"": 1, ""ل"": 1, ""ه"": 1}"
پژمان,پژمان,5,"{""پ"": 1, ""ژ"": 1, ""م"": 1, ""ا"": 1, ""ن"": 1}"
زشت,زشت,3,"{""ز"": 1, ""ش"": 1, ""ت"": 1}"
ساز,ساز,3,"{""س"": 1, ""ا"": 1, ""ز"": 1}"
شوت,شوت,3,"{""ش"": 1, ""و"": 1, ""ت"": 1}"
ارتش,ارتش,4,"{""ا"": 1, ""ر"": 1, ""ت"": 1, ""ش"": 1}"
سوار,سوار,4,"{""س"": 1, ""و"": 1, ""ا"": 1, ""ر"": 1}"
آرزو,ارزو,4,"{""ا"": 1, ""ر"": 1, ""ز"": 1, ""و"": 1}"
واشر,واشر,4,"{""و"": 1, ""ا"": 1, ""ش"": 1, ""ر"": 1}"
ورزش,ورزش,4,"{""و"": 1, ""ر"": 1, ""ز"": 1, ""ش"": 1}"
ارزش,ارزش,4,"{""ا"": 1, ""ر"": 1, ""ز"": 1, ""ش"": 1}"
سروش,سروش,4,"{""س"": 1, ""ر"": 1, ""و"": 1, ""ش"": 1}"
وزارت,وزارت,5,"{""و"": 1, ""ز"": 1, ""ا"": 1, ""ر"": 1, ""ت"": 1}"
اورست,اورست,5,"{""ا"": 1, ""و"": 1, ""ر"": 1, ""س"": 1, ""ت"": 1}"
ترازو,ترازو,5,"{""ت"": 1, ""ر"": 1, ""ا"": 1, ""ز"": 1, ""و"": 1}"
سشوار,سشوار,5,"{""س"": 1, ""ش"": 1, ""و"": 1, ""ا"": 1, ""ر"": 1}"
روستا,روستا,5,"{""ر"": 1, ""و"": 1, ""س"": 1, ""ت"": 1, ""ا"": 1}"
چمن,چمن,3,"{""چ"": 1, ""م"": 1, ""ن"": 1}"
چرم,چرم,3,"{""چ"": 1, ""ر"": 1, ""م"": 1}"
چاپ,چاپ,3,"{""چ"": 1, ""ا"": 1, ""پ"": 1}"
منچ,منچ,3,"{""م"": 1, ""ن"": 1, ""چ"": 1}"
مار,مار,3,"{""م"": 1, ""ا"": 1, ""ر"": 1}"
چنار,چنار,4,"{""چ"": 1, ""ن"": 1, ""ا"": 1, ""ر"": 1}"
پارچ,پارچ,4,"{""پ"": 1, ""ا"": 1, ""ر"": 1, ""چ"": 1}"
رمان,رمان,4,"{""ر"": 1, ""م"": 1, ""ا"": 1, ""ن"": 1}"
پنچر,پنچر,4,"{""پ"": 1, ""ن"": 1, ""چ"": 1, ""ر"": 1}"
پرچم,پرچم,4,"{""پ"": 1, ""ر"": 1, ""چ"": 1, ""م"": 1}"
فرمان,فرمان,5,"{""ف"": 1, ""ر"": 1, ""م"": 1, ""ا"": 1, ""ن"": 1}"
مکه,مکه,3,"{""م"": 1, ""ک"": 1, ""ه"": 1}"
کمد,کمد,3,"{""ک"": 1, ""م"": 1, ""د"": 1}"
کیش,کیش,3,"{""ک"": 1, ""ی"": 1, ""ش"": 1}"
میش,میش,3,"{""م"": 1, ""ی"": 1, ""ش"": 1}"
مشک,مشک,3,"{""م"": 1, ""ش"": 1, ""ک"": 1}"
شکم,شکم,3,"{""ش"": 1, ""ک"": 1, ""م"": 1}"
شهید,شهید,4,"{""ش"": 1, ""ه"": 1, ""ی"": 1, ""د"": 1}"
مهدی,مهدی,4,"{""م"": 1, ""ه"": 1, ""د"": 1, ""ی"": 1}"
مشکی,مشکی,4,"{""م"": 1, ""ش"": 1, ""ک"": 1, ""ی"": 1}"
امید,امید,4,"{""ا"": 1, ""م"": 1, ""ی"": 1, ""د"": 1}"
مشهد,مشهد,4,"{""م"": 1, ""ش"": 1, ""ه"": 1, ""د"": 1}"
